"word","freq"
"in life",211
"just saw",211
"more about",211
"much better",211
"none of",211
"one more",211
"so happy",211
"the place",211
"all in",210
"all you",210
"did it",210
"get some",210
"had an",210
"take it",210
"that his",210
"the bill",210
"we did",210
"for being",209
"hit the",209
"look for",209
"on what",209
"pair of",209
"the weather",209
"this point",209
"to one",209
"years in",209
"are on",208
"for what",208
"home to",208
"if a",208
"more and",208
"much to",208
"that means",208
"the three",208
"a statement",207
"to cut",207
"you're not",207
"a girl",206
"a problem",206
"as many",206
"call me",206
"i couldn't",206
"if not",206
"in for",206
"it may",206
"it really",206
"nothing to",206
"point of",206
"tend to",206
"the economy",206
"the west",206
"things are",206
"to those",206
"want a",206
"was born",206
"who will",206
"at it",205
"glad to",205
"have it",205
"in time",205
"it looks",205
"this summer",205
"this will",205
"to school",205
"to send",205
"as soon",204
"her and",204
"i heard",204
"if u",204
"is why",204
"picked up",204
"school and",204
"to believe",204
"watch the",204
"why is",204
"at first",203
"but for",203
"come up",203
"it wasn't",203
"state of",203
"still have",203
"the line",203
"to save",203
"up my",203
"where we",203
"ended up",202
"is too",202
"new year",202
"really good",202
"that time",202
"that way",202
"think it's",202
"was still",202
"food and",201
"is expected",201
"living in",201
"series of",201
"the district",201
"the floor",201
"the list",201
"the reason",201
"which he",201
"all these",200
"as far",200
"back from",200
"glad you",200
"it should",200
"keep it",200
"left the",200
"or more",200
"pretty good",200
"the opportunity",200
"to finish",200
"was at",200
"week i",200
"working with",200
"about you",199
"don't like",199
"have fun",199
"he and",199
"love this",199
"return to",199
"to its",199
"be used",198
"but as",198
"do so",198
"more to",198
"said we",198
"seemed to",198
"terms of",198
"to bed",198
"to end",198
"to support",198
"tonight at",198
"ways to",198
"will you",198
"and go",197
"help me",197
"in 2009",197
"of one",197
"once again",197
"think we",197
"to feel",197
"you make",197
"he didn't",196
"is something",196
"night and",196
"she says",196
"some time",196
"the face",196
"the local",196
"they did",196
"thing that",196
"those of",196
"to hold",196
"using the",196
"year old",196
"a series",195
"anyone else",195
"found out",195
"it that",195
"off a",195
"the city's",195
"the phone",195
"things to",195
"which the",195
"all those",194
"get on",194
"got it",194
"makes it",194
"me but",194
"my last",194
"our new",194
"outside the",194
"was like",194
"year the",194
"years old",194
"you don’t",194
"a half",193
"before you",193
"give it",193
"have done",193
"i hear",193
"in january",193
"making a",193
"on its",193
"on one",193
"there's no",193
"they say",193
"think you",193
"you at",193
"a bunch",192
"as possible",192
"back of",192
"check it",192
"for about",192
"for two",192
"found a",192
"to offer",192
"variety of",192
"- a",191
"and that's",191
"at one",191
"he does",191
"how they",191
"just one",191
"man who",191
"of god",191
"the kitchen",191
"you say",191
"a family",190
"does it",190
"for its",190
"history of",190
"i'm still",190
"in there",190
"it be",190
"it might",190
"know about",190
"like an",190
"not been",190
"put a",190
"the center",190
"and take",189
"at his",189
"far as",189
"me with",189
"say it",189
"started to",189
"taking a",189
"the fourth",189
"the love",189
"the start",189
"to walk",189
"you must",189
"a certain",188
"a short",188
"come from",188
"it's like",188
"it when",188
"name of",188
"out at",188
"result of",188
"still a",188
"the red",188
"to open",188
"– and",187
"did a",187
"find it",187
"happened to",187
"make you",187
"seems like",187
"the program",187
"think they",187
"to avoid",187
"to lose",187
"very good",187
"would make",187
"believe in",186
"day for",186
"for now",186
"love my",186
"never been",186
"one to",186
"the greatest",186
"the series",186
"the words",186
"with one",186
"you ever",186
"a car",185
"allowed to",185
"been the",185
"did the",185
"followed by",185
"house and",185
"important to",185
"in march",185
"in on",185
"it at",185
"not as",185
"the market",185
"the nfl",185
"to catch",185
"to protect",185
"to speak",185
"you're a",185
"i'm gonna",184
"my best",184
"saw a",184
"the building",184
"win the",184
"excited for",183
"if there",183
"last time",183
"looking to",183
"my day",183
"only to",183
"says the",183
"she would",183
"still in",183
"the home",183
"the us",183
"to new",183
"— and",182
"congrats to",182
"didn't have",182
"don't forget",182
"home in",182
"love your",182
"no i",182
"same thing",182
"say i",182
"stop by",182
"the business",182
"yeah i",182
"but what",181
"can only",181
"how we",181
"i can’t",181
"i loved",181
"if she",181
"just want",181
"managed to",181
"moved to",181
"only the",181
"out my",181
"the heart",181
"when you're",181
"who would",181
"and others",180
"are being",180
"back into",180
"can help",180
"few weeks",180
"money to",180
"mother's day",180
"to sit",180
"you but",180
"be back",179
"began to",179
"do what",179
"get up",179
"good thing",179
"of other",179
"of work",179
"oh my",179
"our own",179
"that all",179
"the site",179
"time we",179
"to everyone",179
"to sell",179
"use a",179
"an old",178
"doing a",178
"fan of",178
"his life",178
"into my",178
"is how",178
"me of",178
"that and",178
"the playoffs",178
"to begin",178
"to not",178
"until i",178
"with its",178
"you look",178
"a fan",177
"and new",177
"as one",177
"back at",177
"be done",177
"got my",177
"just had",177
"one who",177
"stay tuned",177
"that it's",177
"are now",176
"i needed",176
"i won't",176
"of some",176
"put on",176
"the issue",176
"thing to",176
"to and",176
"told him",176
"what would",176
"about your",175
"and also",175
"from their",175
"have made",175
"help you",175
"i only",175
"or something",175
"people have",175
"thanks so",175
"the race",175
"the table",175
"then you",175
"this book",175
"to just",175
"use it",175
"was my",175
"& the",174
"are more",174
"continues to",174
"has no",174
"his family",174
"in 2011",174
"me back",174
"much i",174
"picture of",174
"so glad",174
"so i'm",174
"the party",174
"thing is",174
"was really",174
"a picture",173
"are no",173
"are we",173
"best of",173
"five years",173
"give a",173
"hope that",173
"how can",173
"most important",173
"state and",173
"sure that",173
"turned out",173
"a result",172
"after that",172
"am a",172
"and most",172
"at 7",172
"been on",172
"but still",172
"despite the",172
"do we",172
"in mind",172
"level of",172
"one i",172
"start to",172
"that's not",172
"that when",172
"the crowd",172
"the state's",172
"to continue",172
"to understand",172
"to wear",172
"will also",172
"coming up",171
"cost of",171
"found the",171
"i actually",171
"i tried",171
"making the",171
"me so",171
"so hard",171
"the head",171
"the north",171
"a fun",170
"are also",170
"at an",170
"by his",170
"feel the",170
"her own",170
"inside the",170
"it off",170
"parts of",170
"set of",170
"so he",170
"so what",170
"something i",170
"world of",170
"a story",169
"— the",169
"at night",169
"came from",169
"from an",169
"on you",169
"so if",169
"the deal",169
"the media",169
"the song",169
"week and",169
"will come",169
"also be",168
"and still",168
"both of",168
"do to",168
"excited about",168
"i asked",168
"i came",168
"interest in",168
"it or",168
"police said",168
"story of",168
"the guy",168
"the need",168
"this blog",168
"weeks ago",168
"who can",168
"wonder if",168
"and put",167
"but now",167
"for any",167
"gave me",167
"get me",167
"lead to",167
"me if",167
"that people",167
"the cost",167
"the difference",167
"the late",167
"there for",167
"bottom of",166
"for people",166
"free to",166
"here to",166
"i cant",166
"other people",166
"the girls",166
"the report",166
"the side",166
"tired of",166
"to love",166
"why the",166
"you really",166
"– the",165
"ahead of",165
"all your",165
"found that",165
"in st",165
"in terms",165
"last season",165
"life in",165
"meant to",165
"might not",165
"no way",165
"not really",165
"not yet",165
"off and",165
"out i",165
"the beach",165
"the dark",165
"the wrong",165
"to grow",165
"and made",164
"can't believe",164
"closer to",164
"difficult to",164
"from her",164
"hours of",164
"i use",164
"it again",164
"just have",164
"real estate",164
"said but",164
"that's why",164
"the south",164
"two days",164
"us in",164
"a pair",163
"a piece",163
"” i",163
"an awesome",163
"at our",163
"be my",163
"in may",163
"let's go",163
"one for",163
"the body",163
"the key",163
"the store",163
"to reach",163
"was there",163
"& i",162
"after i",162
"but my",162
"but no",162
"doing it",162
"effort to",162
"having to",162
"i must",162
"i wouldn't",162
"in february",162
"on in",162
"the gym",162
"to kill",162
"with and",162
"without the",162
"a movie",161
"a quick",161
"about his",161
"again and",161
"and say",161
"and those",161
"attention to",161
"best friend",161
"but with",161
"can go",161
"city of",161
"down on",161
"friday night",161
"get into",161
"have my",161
"i bet",161
"it's going",161
"someone else",161
"the death",161
